stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag,expectancy_raw,expectancy_shrunk,expectancy_shrunk_var,win_rate_raw,win_rate_shrunk,win_rate_shrunk_var
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,us_open,6,mcx_tail,33.33333333333333,16.666666666666664,50.0,False,0.16666666666666663,0.06452638270820088,0.11401722286395466,0.33333333333333326,0.36554354736172917,0.03954844095715621
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,us_pre_open,3,us_open,66.66666666666666,33.33333333333333,0.0,True,0.33333333333333326,0.07294286740927056,0.1288890345418618,0.6666666666666665,0.4132231404958677,0.04470693325591572
WTI_session,1.0,full_scale_war,all_day_trend_down,us_open,4,other_valid_hours,25.0,75.0,0.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
WTI_session,1.0,full_scale_war,all_day_trend_up,asia_early,3,us_late,66.66666666666666,0.0,33.33333333333333,True,0.6666666666666665,0.11642112827883577,0.1288890345418618,0.6666666666666665,0.4132231404958677,0.04470693325591572
WTI_session,1.0,full_scale_war,all_day_trend_up,europe_midday,4,us_pre_open,100.0,0.0,0.0,True,1.0,0.19490358126721763,0.12351865810261756,1.0,0.47933884297520657,0.042844144370252565
WTI_session,1.0,full_scale_war,all_day_trend_up,us_late,3,europe_midday,33.33333333333333,66.66666666666666,0.0,True,-0.33333333333333326,-0.014013654329859855,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,all_day_trend_up,us_open,8,us_open,75.0,12.5,12.5,False,0.625,0.2027744982290437,0.10587313551652933,0.75,0.48229043683589135,0.03672355231735935
WTI_session,1.0,full_scale_war,all_day_trend_up,us_pre_open,4,us_open,75.0,25.0,0.0,True,0.5,0.11157024793388429,0.12351865810261756,0.75,0.43767217630853994,0.042844144370252565
WTI_session,1.0,full_scale_war,mixed_regime,europe_midday,4,us_pre_open,0.0,25.0,75.0,True,-0.25,-0.0134297520661157,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
WTI_session,1.0,full_scale_war,mixed_regime,us_open,8,us_open,62.5,25.0,12.5,False,0.375,0.13134592680047225,0.10587313551652933,0.625,0.44657615112160565,0.03672355231735935
WTI_session,1.0,full_scale_war,mixed_regime,us_pre_open,4,us_open,25.0,75.0,0.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
WTI_session,1.0,full_scale_war,whipsaw_two_sided,asia_early,3,us_late,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,europe_midday,6,us_pre_open,83.33333333333334,16.666666666666664,0.0,False,0.6666666666666669,0.17991099809281633,0.11401722286395466,0.8333333333333335,0.4809281627463446,0.03954844095715621
WTI_session,1.0,full_scale_war,whipsaw_two_sided,global_reopen_pre_mcx,3,mcx_open_drive,33.33333333333333,0.0,66.66666666666666,True,0.33333333333333326,0.07294286740927056,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,india_midday,3,europe_midday,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,india_morning,3,india_midday,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,mcx_open_drive,3,india_morning,0.0,0.0,100.0,True,0.0,0.02946460653970535,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,mcx_tail,3,other_valid_hours,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,us_late,3,europe_midday,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
WTI_session,1.0,full_scale_war,whipsaw_two_sided,us_open,12,us_open,33.33333333333333,50.0,16.666666666666664,False,-0.1666666666666667,-0.0413223140495868,0.09263899357696316,0.33333333333333326,0.3595041322314049,0.03213310827768942
WTI_session,1.0,full_scale_war,whipsaw_two_sided,us_pre_open,6,us_open,83.33333333333334,0.0,16.666666666666664,False,0.8333333333333335,0.2183725365543548,0.11401722286395466,0.8333333333333335,0.4809281627463446,0.03954844095715621
WTI_session,2.0,post_ceasefire_complex,all_day_trend_down,europe_midday,10,us_pre_open,30.0,60.0,10.0,False,-0.3,-0.07741046831955922,0.09881492648209404,0.3,0.35013774104683193,0.03427531549620205
